Index,SingularValue,Energy,CumulativeEnergy
127,218.243182,47630.086507,99.99
128,212.411898,45118.814326,99.99
129,208.908708,43642.848179,99.99
130,200.546304,40218.819909,99.99
131,194.834134,37960.339762,99.99
132,190.007565,36102.874643,99.99
133,185.799266,34521.367087,99.99
134,179.988005,32395.682112,99.99
135,172.903711,29895.693208,99.99
136,169.310944,28666.195778,99.99
137,165.630716,27433.534226,99.99
138,163.310214,26670.226048,99.99
139,155.892643,24302.516075,99.99
140,153.903355,23686.242664,100.00
141,152.881058,23372.617950,100.00
142,148.691040,22109.025310,100.00
143,146.478068,21455.824389,100.00
144,143.113789,20481.556474,100.00
145,137.526985,18913.671602,100.00
146,135.366764,18324.160880,100.00
147,131.494220,17290.729903,100.00
148,129.380694,16739.363946,100.00
149,125.032755,15633.189779,100.00
150,123.967678,15367.985072,100.00
151,120.623520,14550.033606,100.00
152,117.480593,13801.689775,100.00
153,115.178927,13266.185135,100.00
154,112.486467,12653.205203,100.00
155,110.088993,12119.586433,100.00
156,105.349460,11098.508628,100.00
157,103.679116,10749.359094,100.00
158,100.980525,10197.066513,100.00
159,99.526786,9905.581201,100.00
160,97.151034,9438.323341,100.00
161,93.694941,8778.741947,100.00
162,92.328826,8524.612065,100.00
163,91.247238,8326.058465,100.00
164,89.843275,8071.814050,100.00
165,88.028913,7749.089510,100.00
166,85.016426,7227.792762,100.00
167,83.411666,6957.506086,100.00
168,81.929872,6712.503985,100.00
169,80.968178,6555.845834,100.00
170,77.148012,5951.815823,100.00
171,75.570657,5710.924224,100.00
172,75.073510,5636.031977,100.00
173,72.343871,5233.635665,100.00
174,70.629868,4988.578229,100.00
175,69.447642,4822.974999,100.00
176,69.009938,4762.371553,100.00
177,65.649168,4309.813266,100.00
178,65.603221,4303.782571,100.00
179,64.284241,4132.463672,100.00
180,63.014990,3970.888907,100.00
181,61.485960,3780.523233,100.00
182,58.595257,3433.404107,100.00
183,56.515424,3193.993165,100.00
184,56.145275,3152.291958,100.00
185,53.998823,2915.872931,100.00
186,53.274106,2838.130416,100.00
187,52.140417,2718.623122,100.00
188,51.339607,2635.755243,100.00
189,50.531679,2553.450573,100.00
190,49.464880,2446.774314,100.00
191,48.267036,2329.706811,100.00
192,46.765795,2187.039580,100.00
193,46.547813,2166.698922,100.00
194,45.472337,2067.733448,100.00
195,44.586217,1987.930740,100.00
196,43.028491,1851.451048,100.00
197,42.324235,1791.340891,100.00
198,40.668916,1653.960728,100.00
199,40.369520,1629.698183,100.00
200,38.273646,1464.871979,100.00
201,37.866830,1433.896804,100.00
202,37.463029,1403.478564,100.00
203,36.452620,1328.793472,100.00
204,35.669044,1272.280681,100.00
205,35.227353,1240.966400,100.00
206,34.640375,1199.955585,100.00
207,33.460697,1119.618218,100.00
208,33.276162,1107.302975,100.00
209,32.160862,1034.321053,100.00
210,31.378745,984.625612,100.00
211,30.710282,943.121390,100.00
212,30.415676,925.113361,100.00
213,29.742523,884.617664,100.00
214,29.666813,880.119784,100.00
215,28.677911,822.422603,100.00
216,28.368733,804.785020,100.00
217,27.297800,745.169873,100.00
218,26.985447,728.214338,100.00
219,26.627648,709.031645,100.00
220,26.182155,685.505256,100.00
221,25.676329,659.273884,100.00
222,24.336197,592.250496,100.00
223,23.950255,573.614713,100.00
224,23.594441,556.697623,100.00
225,23.405993,547.840527,100.00
226,22.468730,504.843828,100.00
227,22.103951,488.584640,100.00
228,21.582598,465.808534,100.00
229,20.959264,439.290756,100.00
230,20.592312,424.043327,100.00
231,20.393917,415.911856,100.00
232,19.972805,398.912930,100.00
233,19.468940,379.039612,100.00
234,18.849828,355.315997,100.00
235,18.497779,342.167846,100.00
236,18.371662,337.517951,100.00
237,17.896608,320.288592,100.00
238,17.748099,314.995023,100.00
239,17.036538,290.243622,100.00
240,16.709706,279.214271,100.00
241,16.576474,274.779483,100.00
242,16.181866,261.852776,100.00
243,16.155732,261.007666,100.00
244,14.864888,220.964886,100.00
245,14.707691,216.316160,100.00
246,14.466267,209.272888,100.00
247,14.048305,197.354871,100.00
248,13.859880,192.096262,100.00
249,13.423215,180.182696,100.00
250,13.109315,171.854140,100.00
251,12.870028,165.637632,100.00
252,12.752174,162.617936,100.00
253,12.375750,153.159180,100.00
254,12.084133,146.026272,100.00
255,11.698508,136.855079,100.00
256,11.630862,135.276942,100.00
257,11.358329,129.011647,100.00
258,11.064192,122.416338,100.00
259,10.892400,118.644385,100.00
260,10.752673,115.619974,100.00
261,10.580365,111.944113,100.00
262,10.286647,105.815113,100.00
263,10.117882,102.371541,100.00
264,10.002636,100.052717,100.00
265,9.616172,92.470768,100.00
266,9.116519,83.110913,100.00
267,9.063265,82.142764,100.00
268,8.843233,78.202763,100.00
269,8.674654,75.249631,100.00
270,8.430697,71.076648,100.00
271,8.363180,69.942775,100.00
272,8.171139,66.767509,100.00
273,8.115284,65.857837,100.00
274,8.035812,64.574269,100.00
275,7.900157,62.412483,100.00
276,7.600621,57.769445,100.00
277,7.494473,56.167126,100.00
278,7.217414,52.091064,100.00
279,7.129826,50.834419,100.00
280,7.028344,49.397621,100.00
281,6.887136,47.432644,100.00
282,6.810101,46.377477,100.00
283,6.586412,43.380818,100.00
284,6.556603,42.989039,100.00
285,6.365376,40.518012,100.00
286,6.290820,39.574418,100.00
287,6.189398,38.308643,100.00
288,6.053925,36.650003,100.00
289,5.924288,35.097194,100.00
290,5.840227,34.108247,100.00
291,5.745858,33.014887,100.00
292,5.648047,31.900439,100.00
293,5.512770,30.390628,100.00
294,5.458983,29.800491,100.00
295,5.340401,28.519879,100.00
296,5.288192,27.964976,100.00
297,5.235123,27.406513,100.00
298,5.081830,25.825000,100.00
299,4.990372,24.903810,100.00
300,4.939120,24.394904,100.00
301,4.906397,24.072736,100.00
302,4.829430,23.323397,100.00
303,4.713406,22.216200,100.00
304,4.616713,21.314039,100.00
305,4.563778,20.828072,100.00
306,4.543195,20.640622,100.00
307,4.474411,20.020350,100.00
308,4.399847,19.358652,100.00
309,4.378065,19.167449,100.00
310,4.291822,18.419738,100.00
311,4.202240,17.658824,100.00
312,4.147307,17.200157,100.00
313,4.077713,16.627745,100.00
314,4.006239,16.049948,100.00
315,3.919726,15.364255,100.00
316,3.872300,14.994706,100.00
317,3.803121,14.463728,100.00
318,3.755502,14.103795,100.00
319,3.702662,13.709709,100.00
320,3.641405,13.259833,100.00
321,3.635302,13.215419,100.00
322,3.576003,12.787800,100.00
323,3.543289,12.554894,100.00
324,3.470996,12.047816,100.00
325,3.411349,11.637299,100.00
326,3.328568,11.079363,100.00
327,3.296046,10.863916,100.00
328,3.236476,10.474778,100.00
329,3.194718,10.206221,100.00
330,3.112258,9.686148,100.00
331,3.071581,9.434612,100.00
332,3.008820,9.052996,100.00
333,2.958374,8.751974,100.00
334,2.954221,8.727422,100.00
335,2.896974,8.392456,100.00
336,2.860288,8.181250,100.00
337,2.779320,7.724619,100.00
338,2.745434,7.537406,100.00
339,2.669514,7.126308,100.00
340,2.638745,6.962975,100.00
341,2.603977,6.780695,100.00
342,2.554246,6.524171,100.00
343,2.525138,6.376322,100.00
344,2.514428,6.322349,100.00
345,2.485671,6.178559,100.00
346,2.385917,5.692602,100.00
347,2.354992,5.545986,100.00
348,2.337373,5.463311,100.00
349,2.233771,4.989734,100.00
350,2.204394,4.859354,100.00
351,2.162069,4.674540,100.00
352,2.102049,4.418612,100.00
353,2.057951,4.235163,100.00
354,2.034584,4.139532,100.00
355,1.989484,3.958047,100.00
356,1.929614,3.723411,100.00
357,1.880782,3.537341,100.00
358,1.823975,3.326884,100.00
359,1.791099,3.208037,100.00
360,1.745699,3.047465,100.00
361,1.739617,3.026268,100.00
362,1.716965,2.947968,100.00
363,1.598326,2.554647,100.00
364,1.582123,2.503113,100.00
365,1.563548,2.444682,100.00
366,1.523596,2.321343,100.00
367,1.499354,2.248062,100.00
368,1.440846,2.076038,100.00
369,1.379058,1.901801,100.00
370,1.347914,1.816871,100.00
371,1.290971,1.666607,100.00
372,1.261230,1.590701,100.00
373,1.229347,1.511295,100.00
374,1.225293,1.501343,100.00
375,1.161397,1.348844,100.00
376,1.131093,1.279372,100.00
377,1.108661,1.229130,100.00
378,1.052833,1.108457,100.00
379,1.010260,1.020625,100.00
380,0.999478,0.998957,100.00
381,0.926710,0.858792,100.00
382,0.910178,0.828423,100.00
383,0.896382,0.803500,100.00
384,0.789581,0.623438,100.00
385,0.775686,0.601689,100.00
386,0.763994,0.583687,100.00
387,0.718475,0.516207,100.00
388,0.701490,0.492088,100.00
389,0.682189,0.465382,100.00
390,0.646049,0.417379,100.00
391,0.610443,0.372640,100.00
392,0.567588,0.322156,100.00
393,0.562873,0.316826,100.00
394,0.517198,0.267494,100.00
395,0.497815,0.247820,100.00
396,0.468740,0.219717,100.00
397,0.462738,0.214127,100.00
398,0.427874,0.183076,100.00
399,0.401154,0.160925,100.00
400,0.371939,0.138339,100.00
401,0.355175,0.126149,100.00
402,0.351301,0.123412,100.00
403,0.310697,0.096533,100.00
404,0.295598,0.087378,100.00
405,0.270756,0.073309,100.00
